asymmetry_level,case_id,coherence_magnitude,symmetry_gap_mean_abs,observed_hafnian_theta,predicted_uniform_theta,uniform_phase_residual,mean_edge_phase
0.000000,asym_0.00_01,0.9957318945,0.0000000000,0.0179396289,0.0148725399,0.0030670890,0.0049575133
0.000000,asym_0.00_02,0.9950887736,0.0000000000,-0.0203893228,-0.0242898137,0.0039004909,-0.0080966046
0.000000,asym_0.00_03,0.9986966103,0.0000000000,0.0374986552,0.0364562959,0.0010423593,0.0121520986
0.000000,asym_0.00_04,0.9976946234,0.0000000000,-0.0848503145,-0.0827178020,-0.0021325125,-0.0275726007
0.000000,asym_0.00_05,0.9961812645,0.0000000000,-0.0604012174,-0.0537430413,-0.0066581761,-0.0179143471
0.000000,asym_0.00_06,0.9966490904,0.0000000000,-0.0556897945,-0.0552348073,-0.0004549872,-0.0184116024
0.000000,asym_0.00_07,0.9980697693,0.0000000000,-0.0785181538,-0.0795891554,0.0010710017,-0.0265297185
0.000000,asym_0.00_08,0.9952213760,0.0000000000,-0.0179412176,-0.0135752714,-0.0043659462,-0.0045250905
0.000000,asym_0.00_09,0.9966095017,0.0000000000,0.0337646948,0.0337455785,0.0000191163,0.0112485262
0.000000,asym_0.00_10,0.9958074183,0.0000000000,0.0819118940,0.0842072108,-0.0022953168,0.0280690703
0.000000,asym_0.00_11,0.9958959735,0.0000000000,-0.0901278109,-0.0908820490,0.0007542381,-0.0302940163
0.000000,asym_0.00_12,0.9977996244,0.0000000000,-0.0240964260,-0.0250525907,0.0009561648,-0.0083508636
0.000000,asym_0.00_13,0.9974118804,0.0000000000,-0.0315068414,-0.0323364786,0.0008296373,-0.0107788262
0.000000,asym_0.00_14,0.9982785645,0.0000000000,-0.0353670844,-0.0348389518,-0.0005281326,-0.0116129839
0.000000,asym_0.00_15,0.9980793081,0.0000000000,-0.0211278486,-0.0226916430,0.0015637944,-0.0075638810
0.000000,asym_0.00_16,0.9982295490,0.0000000000,-0.0458927077,-0.0460161468,0.0001234391,-0.0153387156
0.100000,asym_0.10_01,0.9974256024,0.0568899440,-0.0249412489,-0.0241523239,-0.0007889250,-0.0080507746
0.100000,asym_0.10_02,0.9982793183,0.0690649465,-0.0362882586,-0.0381748189,0.0018865603,-0.0127249396
0.100000,asym_0.10_03,0.9973260922,0.0657538346,0.0471343705,0.0491171988,-0.0019828282,0.0163723996
0.100000,asym_0.10_04,0.9956739640,0.0466941120,-0.0300206720,-0.0332948836,0.0032742116,-0.0110982945
0.100000,asym_0.10_05,0.9970198396,0.0424621874,0.0911656805,0.0906611835,0.0005044970,0.0302203945
0.100000,asym_0.10_06,0.9961630747,0.0534874132,-0.0262233664,-0.0200285363,-0.0061948301,-0.0066761788
0.100000,asym_0.10_07,0.9982659400,0.0537345563,0.0403144980,0.0353233170,0.0049911809,0.0117744390
0.100000,asym_0.10_08,0.9958060016,0.0584194804,-0.0068724246,-0.0071225712,0.0002501466,-0.0023741904
0.100000,asym_0.10_09,0.9977155739,0.0541645672,0.0268524571,0.0276207614,-0.0007683043,0.0092069205
0.100000,asym_0.10_10,0.9977948848,0.0528076382,-0.0559613936,-0.0536137932,-0.0023476005,-0.0178712644
0.100000,asym_0.10_11,0.9962419887,0.0597355470,-0.0123583160,-0.0136183401,0.0012600241,-0.0045394467
0.100000,asym_0.10_12,0.9963945913,0.0592849974,-0.0933940018,-0.0876010952,-0.0057929066,-0.0292003651
0.100000,asym_0.10_13,0.9980776371,0.0596329745,0.0639071536,0.0671241961,-0.0032170424,0.0223747320
0.100000,asym_0.10_14,0.9979364697,0.0604576175,0.0579108146,0.0590723048,-0.0011614902,0.0196907683
0.100000,asym_0.10_15,0.9977993191,0.0437678490,-0.0482663688,-0.0500259948,0.0017596260,-0.0166753316
0.100000,asym_0.10_16,0.9979947088,0.0535799784,-0.0458532688,-0.0435544414,-0.0022988273,-0.0145181471
0.200000,asym_0.20_01,0.9973876790,0.0933141249,-0.0632291078,-0.0597326280,-0.0034964798,-0.0199108760
0.200000,asym_0.20_02,0.9981915716,0.1236979408,-0.0349789306,-0.0372512403,0.0022723097,-0.0124170801
0.200000,asym_0.20_03,0.9978315713,0.1203983262,-0.0351489693,-0.0323845088,-0.0027644605,-0.0107948363
0.200000,asym_0.20_04,0.9984206902,0.1274660112,0.0184842089,0.0204059380,-0.0019217291,0.0068019793
0.200000,asym_0.20_05,0.9986573713,0.1314062341,0.0498466225,0.0528986255,-0.0030520030,0.0176328752
0.200000,asym_0.20_06,0.9976135849,0.1174613303,0.1092614821,0.1087327352,0.0005287468,0.0362442451
0.200000,asym_0.20_07,0.9976938469,0.1298384224,0.0212068459,0.0197139918,0.0014928542,0.0065713306
0.200000,asym_0.20_08,0.9916643002,0.1140843043,0.0495434043,0.0464172565,0.0031261479,0.0154724188
0.200000,asym_0.20_09,0.9971617148,0.1002561878,0.0655865504,0.0695109781,-0.0039244276,0.0231703260
0.200000,asym_0.20_10,0.9961186064,0.0965820033,0.0539144917,0.0544862611,-0.0005717695,0.0181620870
0.200000,asym_0.20_11,0.9979418763,0.1138169674,-0.0289296585,-0.0325686613,0.0036390029,-0.0108562204
0.200000,asym_0.20_12,0.9978776191,0.0962796307,0.0980474785,0.0964683690,0.0015791095,0.0321561230
0.200000,asym_0.20_13,0.9973680959,0.1239024498,-0.0211482713,-0.0219405220,0.0007922507,-0.0073135073
0.200000,asym_0.20_14,0.9968606610,0.1203345101,0.0891705605,0.0911332001,-0.0019626396,0.0303777334
0.200000,asym_0.20_15,0.9972786238,0.0999520072,0.0909206508,0.0875583324,0.0033623184,0.0291861108
0.200000,asym_0.20_16,0.9959167323,0.1201132798,0.0285751174,0.0252370341,0.0033380833,0.0084123447
0.350000,asym_0.35_01,0.9984730147,0.2076713137,0.0404515445,0.0377179682,0.0027335764,0.0125726561
0.350000,asym_0.35_02,0.9961191295,0.2190107070,-0.0568990017,-0.0573102102,0.0004112085,-0.0191034034
0.350000,asym_0.35_03,0.9977049803,0.1858492000,0.0309152313,0.0333921354,-0.0024769041,0.0111307118
0.350000,asym_0.35_04,0.9970474859,0.1729384361,-0.0474578271,-0.0511349446,0.0036771175,-0.0170449815
0.350000,asym_0.35_05,0.9980656989,0.2448376323,-0.0307595704,-0.0325943558,0.0018347855,-0.0108647853
0.350000,asym_0.35_06,0.9945690522,0.2303842644,-0.0832585492,-0.0777228126,-0.0055357366,-0.0259076042
0.350000,asym_0.35_07,0.9979769300,0.1804949463,-0.0512705153,-0.0515795801,0.0003090649,-0.0171931934
0.350000,asym_0.35_08,0.9966975889,0.1975493668,0.0510192222,0.0507147699,0.0003044523,0.0169049233
0.350000,asym_0.35_09,0.9976738554,0.1696464190,0.0192924230,0.0177825655,0.0015098575,0.0059275218
0.350000,asym_0.35_10,0.9972247876,0.2053417785,0.0518609046,0.0516506582,0.0002102464,0.0172168861
0.350000,asym_0.35_11,0.9988360847,0.1821384449,-0.0091173622,-0.0119289779,0.0028116157,-0.0039763260
