dimension,phase_sigma,asymmetry_level,case_id,coherence_magnitude,symmetry_gap_mean_abs,residual_abs
4,0.050000,0.000000,d4_s0.05_a0.00_k1,0.9997081479,0.0000000000,0.0007296640
4,0.050000,0.000000,d4_s0.05_a0.00_k2,0.9996868051,0.0000000000,0.0029908973
4,0.050000,0.000000,d4_s0.05_a0.00_k3,0.9993236695,0.0000000000,0.0003133328
4,0.050000,0.150000,d4_s0.05_a0.15_k1,0.9990450638,0.0696405311,0.0017071424
4,0.050000,0.150000,d4_s0.05_a0.15_k2,0.9993482410,0.0907175457,0.0052939975
4,0.050000,0.150000,d4_s0.05_a0.15_k3,0.9986662174,0.0784152894,0.0009165222
4,0.050000,0.350000,d4_s0.05_a0.35_k1,0.9991418494,0.1436228430,0.0033366547
4,0.050000,0.350000,d4_s0.05_a0.35_k2,0.9995382793,0.1812565509,0.0004170745
4,0.050000,0.350000,d4_s0.05_a0.35_k3,0.9982666015,0.1939735972,0.0006436788
4,0.050000,0.550000,d4_s0.05_a0.55_k1,0.9984531315,0.3977048928,0.0015477826
4,0.050000,0.550000,d4_s0.05_a0.55_k2,0.9985057821,0.1865136472,0.0050787539
4,0.050000,0.550000,d4_s0.05_a0.55_k3,0.9988940436,0.3568032322,0.0014967810
4,0.150000,0.000000,d4_s0.15_a0.00_k1,0.9917154879,0.0000000000,0.0001936226
4,0.150000,0.000000,d4_s0.15_a0.00_k2,0.9985900140,0.0000000000,0.0030986630
4,0.150000,0.000000,d4_s0.15_a0.00_k3,0.9871522555,0.0000000000,0.0021071529
4,0.150000,0.150000,d4_s0.15_a0.15_k1,0.9978716078,0.0873308504,0.0021914496
4,0.150000,0.150000,d4_s0.15_a0.15_k2,0.9940387756,0.1019380710,0.0073694141
4,0.150000,0.150000,d4_s0.15_a0.15_k3,0.9955504492,0.0567064457,0.0056339422
4,0.150000,0.350000,d4_s0.15_a0.35_k1,0.9771036070,0.2106020996,0.0015864850
4,0.150000,0.350000,d4_s0.15_a0.35_k2,0.9942529653,0.2305671455,0.0000181069
4,0.150000,0.350000,d4_s0.15_a0.35_k3,0.9970763707,0.1947721445,0.0038941962
4,0.150000,0.550000,d4_s0.15_a0.55_k1,0.9848241951,0.3306979787,0.0098961214
4,0.150000,0.550000,d4_s0.15_a0.55_k2,0.9884631356,0.2822680566,0.0163708432
4,0.150000,0.550000,d4_s0.15_a0.55_k3,0.9893023664,0.2772986672,0.0001487414
4,0.300000,0.000000,d4_s0.30_a0.00_k1,0.9234046758,0.0000000000,0.0412238442
4,0.300000,0.000000,d4_s0.30_a0.00_k2,0.9516006310,0.0000000000,0.0053270642
4,0.300000,0.000000,d4_s0.30_a0.00_k3,0.9046225582,0.0000000000,0.0095782717
4,0.300000,0.150000,d4_s0.30_a0.15_k1,0.9709463448,0.0827590884,0.0281843459
4,0.300000,0.150000,d4_s0.30_a0.15_k2,0.9597251669,0.0787603703,0.0029686461
4,0.300000,0.150000,d4_s0.30_a0.15_k3,0.9889056651,0.0952670623,0.0082448811
4,0.300000,0.350000,d4_s0.30_a0.35_k1,0.9741976702,0.1815595834,0.0080315387
4,0.300000,0.350000,d4_s0.30_a0.35_k2,0.9498545949,0.1649440119,0.0179184746
4,0.300000,0.350000,d4_s0.30_a0.35_k3,0.9618343531,0.1888520670,0.0034354458
4,0.300000,0.550000,d4_s0.30_a0.55_k1,0.9721085493,0.3188954234,0.0394078887
4,0.300000,0.550000,d4_s0.30_a0.55_k2,0.9706797039,0.3266212296,0.0066766587
4,0.300000,0.550000,d4_s0.30_a0.55_k3,0.9745201092,0.3861571510,0.0086075273
4,0.600000,0.000000,d4_s0.60_a0.00_k1,0.6986682015,0.0000000000,1.0214985393
4,0.600000,0.000000,d4_s0.60_a0.00_k2,0.7719971781,0.0000000000,0.2265832934
4,0.600000,0.000000,d4_s0.60_a0.00_k3,0.9501586912,0.0000000000,0.0053470992
4,0.600000,0.150000,d4_s0.60_a0.15_k1,0.8064604367,0.1084520949,0.1029807881
4,0.600000,0.150000,d4_s0.60_a0.15_k2,0.8878701322,0.0691695101,0.0354256999
4,0.600000,0.150000,d4_s0.60_a0.15_k3,0.9388847265,0.0617896724,0.0339172208
4,0.600000,0.350000,d4_s0.60_a0.35_k1,0.8447380154,0.2349884192,0.0226873613
4,0.600000,0.350000,d4_s0.60_a0.35_k2,0.8550183533,0.2128667671,0.1993532692
4,0.600000,0.350000,d4_s0.60_a0.35_k3,0.8713818860,0.1632429491,0.0090101976
4,0.600000,0.550000,d4_s0.60_a0.55_k1,0.9336804594,0.2243495074,0.0114340747
4,0.600000,0.550000,d4_s0.60_a0.55_k2,0.9324263600,0.3465458633,0.0259136744
4,0.600000,0.550000,d4_s0.60_a0.55_k3,0.8227090704,0.3323647989,0.0893875468
4,1.100000,0.000000,d4_s1.10_a0.00_k1,0.9287450799,0.0000000000,0.0328277352
4,1.100000,0.000000,d4_s1.10_a0.00_k2,0.8761760929,0.0000000000,0.0056355303
4,1.100000,0.000000,d4_s1.10_a0.00_k3,0.8117169195,0.0000000000,0.0173862247
4,1.100000,0.150000,d4_s1.10_a0.15_k1,0.0517332198,0.0899953853,1.7813054601
4,1.100000,0.150000,d4_s1.10_a0.15_k2,0.7546592489,0.0745053559,0.1116638321
4,1.100000,0.150000,d4_s1.10_a0.15_k3,0.3766110852,0.0992729096,1.9774845401
4,1.100000,0.350000,d4_s1.10_a0.35_k1,0.5626938836,0.2560529949,0.1903832574
4,1.100000,0.350000,d4_s1.10_a0.35_k2,0.2884130465,0.2032790693,1.5246795417
4,1.100000,0.350000,d4_s1.10_a0.35_k3,0.7027785922,0.1538099024,0.1748883217
4,1.100000,0.550000,d4_s1.10_a0.55_k1,0.4255519346,0.2638711534,0.8670455323
4,1.100000,0.550000,d4_s1.10_a0.55_k2,0.7800147007,0.2863599354,0.1606832742
4,1.100000,0.550000,d4_s1.10_a0.55_k3,0.1722760012,0.3089110514,0.9153578778
6,0.050000,0.000000,d6_s0.05_a0.00_k1,0.9992276871,0.0000000000,0.0021003888
6,0.050000,0.000000,d6_s0.05_a0.00_k2,0.9984963333,0.0000000000,0.0046274468
6,0.050000,0.000000,d6_s0.05_a0.00_k3,0.9988122328,0.0000000000,0.0003143588
6,0.050000,0.150000,d6_s0.05_a0.15_k1,0.9988228803,0.0886343533,0.0017081454
6,0.050000,0.150000,d6_s0.05_a0.15_k2,0.9987735329,0.0970277517,0.0029238233
6,0.050000,0.150000,d6_s0.05_a0.15_k3,0.9991010688,0.0718843075,0.0015306359
6,0.050000,0.350000,d6_s0.05_a0.35_k1,0.9990613514,0.2178888912,0.0004229082
6,0.050000,0.350000,d6_s0.05_a0.35_k2,0.9992450638,0.2048098594,0.0004285546
6,0.050000,0.350000,d6_s0.05_a0.35_k3,0.9990039613,0.2259847062,0.0002987796
6,0.050000,0.550000,d6_s0.05_a0.55_k1,0.9983079509,0.3359968658,0.0013467850
6,0.050000,0.550000,d6_s0.05_a0.55_k2,0.9984201622,0.3220808318,0.0022014157
6,0.050000,0.550000,d6_s0.05_a0.55_k3,0.9994148719,0.2852911689,0.0004005531
6,0.150000,0.000000,d6_s0.15_a0.00_k1,0.9933010304,0.0000000000,0.0024919977
6,0.150000,0.000000,d6_s0.15_a0.00_k2,0.9848412263,0.0000000000,0.0055662514
6,0.150000,0.000000,d6_s0.15_a0.00_k3,0.9925929725,0.0000000000,0.0058762936
6,0.150000,0.150000,d6_s0.15_a0.15_k1,0.9901520556,0.0968294593,0.0074765095
6,0.150000,0.150000,d6_s0.15_a0.15_k2,0.9942318688,0.1007337468,0.0029992798
6,0.150000,0.150000,d6_s0.15_a0.15_k3,0.9906526214,0.0879689941,0.0080509862
6,0.150000,0.350000,d6_s0.15_a0.35_k1,0.9851353008,0.1997892963,0.0206162722
6,0.150000,0.350000,d6_s0.15_a0.35_k2,0.9847272469,0.1957123035,0.0030611937
6,0.150000,0.350000,d6_s0.15_a0.35_k3,0.9948004459,0.1880058328,0.0095233401
6,0.150000,0.550000,d6_s0.15_a0.55_k1,0.9826464322,0.2626325629,0.0068886447
6,0.150000,0.550000,d6_s0.15_a0.55_k2,0.9945977805,0.3246970484,0.0059367775
