case_id,family,expression,run,result,psi_sig,ei_sig,final_theta,cumulative_theta,trace_len
A1,precedence_pair_a,2 + 2 * 3,1,8.0,629cd025d1608d03a71d94cc25a8b1242903b1bc6cd578da12978270180f40b1,b28924ec63d922acbc7caec49912b3a7617a7be812a0d2799d7b4de8ae851e4e,0.0,0.5235987755982987,2
A1,precedence_pair_a,2 + 2 * 3,2,8.0,629cd025d1608d03a71d94cc25a8b1242903b1bc6cd578da12978270180f40b1,b28924ec63d922acbc7caec49912b3a7617a7be812a0d2799d7b4de8ae851e4e,0.0,0.5235987755982987,2
A1,precedence_pair_a,2 + 2 * 3,3,8.0,629cd025d1608d03a71d94cc25a8b1242903b1bc6cd578da12978270180f40b1,b28924ec63d922acbc7caec49912b3a7617a7be812a0d2799d7b4de8ae851e4e,0.0,0.5235987755982987,2
A1,precedence_pair_a,2 + 2 * 3,4,8.0,629cd025d1608d03a71d94cc25a8b1242903b1bc6cd578da12978270180f40b1,b28924ec63d922acbc7caec49912b3a7617a7be812a0d2799d7b4de8ae851e4e,0.0,0.5235987755982987,2
A1,precedence_pair_a,2 + 2 * 3,5,8.0,629cd025d1608d03a71d94cc25a8b1242903b1bc6cd578da12978270180f40b1,b28924ec63d922acbc7caec49912b3a7617a7be812a0d2799d7b4de8ae851e4e,0.0,0.5235987755982987,2
A2,precedence_pair_a,(2 + 2) * 3,1,12.0,2f3d26cc7b55a66cbf3641d2c7845a155035807b470aabf0d55c7256a352fa8e,58ffbb3abb2ce7c2d71e8428651c4fc3730232c36448f34be91e328259a9e82f,0.0,0.5235987755982987,2
A2,precedence_pair_a,(2 + 2) * 3,2,12.0,2f3d26cc7b55a66cbf3641d2c7845a155035807b470aabf0d55c7256a352fa8e,58ffbb3abb2ce7c2d71e8428651c4fc3730232c36448f34be91e328259a9e82f,0.0,0.5235987755982987,2
A2,precedence_pair_a,(2 + 2) * 3,3,12.0,2f3d26cc7b55a66cbf3641d2c7845a155035807b470aabf0d55c7256a352fa8e,58ffbb3abb2ce7c2d71e8428651c4fc3730232c36448f34be91e328259a9e82f,0.0,0.5235987755982987,2
A2,precedence_pair_a,(2 + 2) * 3,4,12.0,2f3d26cc7b55a66cbf3641d2c7845a155035807b470aabf0d55c7256a352fa8e,58ffbb3abb2ce7c2d71e8428651c4fc3730232c36448f34be91e328259a9e82f,0.0,0.5235987755982987,2
A2,precedence_pair_a,(2 + 2) * 3,5,12.0,2f3d26cc7b55a66cbf3641d2c7845a155035807b470aabf0d55c7256a352fa8e,58ffbb3abb2ce7c2d71e8428651c4fc3730232c36448f34be91e328259a9e82f,0.0,0.5235987755982987,2
B1,assoc_add_pair_b,(2 + 3) + 4,1,9.0,6eba6eca6ae3dd1a9e96aa1e5a40dd79f9c26f25b2bc7378b18b934fbfd20130,148325779eae04565197790b0c0cfabad7bfb9f77a28c13cefad09aa19429f4c,0.0,0.0,2
B1,assoc_add_pair_b,(2 + 3) + 4,2,9.0,6eba6eca6ae3dd1a9e96aa1e5a40dd79f9c26f25b2bc7378b18b934fbfd20130,148325779eae04565197790b0c0cfabad7bfb9f77a28c13cefad09aa19429f4c,0.0,0.0,2
B1,assoc_add_pair_b,(2 + 3) + 4,3,9.0,6eba6eca6ae3dd1a9e96aa1e5a40dd79f9c26f25b2bc7378b18b934fbfd20130,148325779eae04565197790b0c0cfabad7bfb9f77a28c13cefad09aa19429f4c,0.0,0.0,2
B1,assoc_add_pair_b,(2 + 3) + 4,4,9.0,6eba6eca6ae3dd1a9e96aa1e5a40dd79f9c26f25b2bc7378b18b934fbfd20130,148325779eae04565197790b0c0cfabad7bfb9f77a28c13cefad09aa19429f4c,0.0,0.0,2
B1,assoc_add_pair_b,(2 + 3) + 4,5,9.0,6eba6eca6ae3dd1a9e96aa1e5a40dd79f9c26f25b2bc7378b18b934fbfd20130,148325779eae04565197790b0c0cfabad7bfb9f77a28c13cefad09aa19429f4c,0.0,0.0,2
B2,assoc_add_pair_b,2 + (3 + 4),1,9.0,ee27c6d502b30288033b0f066722339684e901f5797068502fc69e38656c0acf,4eb8fdc4976879814cf5734997238088dde7e161d295908e43542c05ed38c476,0.0,0.0,2
B2,assoc_add_pair_b,2 + (3 + 4),2,9.0,ee27c6d502b30288033b0f066722339684e901f5797068502fc69e38656c0acf,4eb8fdc4976879814cf5734997238088dde7e161d295908e43542c05ed38c476,0.0,0.0,2
B2,assoc_add_pair_b,2 + (3 + 4),3,9.0,ee27c6d502b30288033b0f066722339684e901f5797068502fc69e38656c0acf,4eb8fdc4976879814cf5734997238088dde7e161d295908e43542c05ed38c476,0.0,0.0,2
B2,assoc_add_pair_b,2 + (3 + 4),4,9.0,ee27c6d502b30288033b0f066722339684e901f5797068502fc69e38656c0acf,4eb8fdc4976879814cf5734997238088dde7e161d295908e43542c05ed38c476,0.0,0.0,2
B2,assoc_add_pair_b,2 + (3 + 4),5,9.0,ee27c6d502b30288033b0f066722339684e901f5797068502fc69e38656c0acf,4eb8fdc4976879814cf5734997238088dde7e161d295908e43542c05ed38c476,0.0,0.0,2
C1,assoc_mul_pair_c,(2 * 3) * 4,1,24.0,6b330ea4d732bbc72d151828e889aec7509370041c5cafe04dbd18f6c6d35208,284f0213848ff64b9fa0c43fd77e6fc14292b6859b0f66ca73c0112c554c60b1,0.0,1.0471975511965974,2
C1,assoc_mul_pair_c,(2 * 3) * 4,2,24.0,6b330ea4d732bbc72d151828e889aec7509370041c5cafe04dbd18f6c6d35208,284f0213848ff64b9fa0c43fd77e6fc14292b6859b0f66ca73c0112c554c60b1,0.0,1.0471975511965974,2
C1,assoc_mul_pair_c,(2 * 3) * 4,3,24.0,6b330ea4d732bbc72d151828e889aec7509370041c5cafe04dbd18f6c6d35208,284f0213848ff64b9fa0c43fd77e6fc14292b6859b0f66ca73c0112c554c60b1,0.0,1.0471975511965974,2
C1,assoc_mul_pair_c,(2 * 3) * 4,4,24.0,6b330ea4d732bbc72d151828e889aec7509370041c5cafe04dbd18f6c6d35208,284f0213848ff64b9fa0c43fd77e6fc14292b6859b0f66ca73c0112c554c60b1,0.0,1.0471975511965974,2
C1,assoc_mul_pair_c,(2 * 3) * 4,5,24.0,6b330ea4d732bbc72d151828e889aec7509370041c5cafe04dbd18f6c6d35208,284f0213848ff64b9fa0c43fd77e6fc14292b6859b0f66ca73c0112c554c60b1,0.0,1.0471975511965974,2
C2,assoc_mul_pair_c,2 * (3 * 4),1,24.0,941e0d4616b1dc13b9397234499ae9f190a55624c5fb3ffe02220ff615ee2d27,0189c7798b952e08e552d774fcce55e046d3b289869237b15670c1ab54c56aa6,0.0,1.0471975511965974,2
C2,assoc_mul_pair_c,2 * (3 * 4),2,24.0,941e0d4616b1dc13b9397234499ae9f190a55624c5fb3ffe02220ff615ee2d27,0189c7798b952e08e552d774fcce55e046d3b289869237b15670c1ab54c56aa6,0.0,1.0471975511965974,2
C2,assoc_mul_pair_c,2 * (3 * 4),3,24.0,941e0d4616b1dc13b9397234499ae9f190a55624c5fb3ffe02220ff615ee2d27,0189c7798b952e08e552d774fcce55e046d3b289869237b15670c1ab54c56aa6,0.0,1.0471975511965974,2
C2,assoc_mul_pair_c,2 * (3 * 4),4,24.0,941e0d4616b1dc13b9397234499ae9f190a55624c5fb3ffe02220ff615ee2d27,0189c7798b952e08e552d774fcce55e046d3b289869237b15670c1ab54c56aa6,0.0,1.0471975511965974,2
C2,assoc_mul_pair_c,2 * (3 * 4),5,24.0,941e0d4616b1dc13b9397234499ae9f190a55624c5fb3ffe02220ff615ee2d27,0189c7798b952e08e552d774fcce55e046d3b289869237b15670c1ab54c56aa6,0.0,1.0471975511965974,2
D1,distrib_pair_d,(1 + 2) * 3,1,9.0,c20d55167a3f13bb123e569c18cb13533e3d6a286470ab44ccb84f258f506371,ef4f799d7244f8e26a0235b9a5b98ee5458b298c3bb7971d65223c978681fffd,0.0,0.5235987755982987,2
